,AUV_raw,AUV_kontrakt,CPI
1996,108.22,108.22,97.96
1997,101.37,104.74,100.25
1998,90.41,99.73,101.8
1999,87.59,96.54,104.03
2000,88.42,94.86,107.53
2001,83.44,90.06,110.56
2002,89.2,87.78,112.33
2003,94.85,88.63,114.91
2004,112.36,93.15,117.97
2005,111.25,97.53,121.94
2006,130.48,106.65,125.87
2007,158.48,119.65,129.48
2008,159.69,132.78,134.42
2009,113.0,132.93,133.99
2010,142.72,139.72,136.19
2011,159.39,145.43,140.46
2012,133.06,140.43,143.37
2013,123.14,133.32,145.48
2014,113.53,133.44,147.83
2015,92.79,122.43,148.01
2016,94.53,110.29,149.88
2017,103.62,104.91,153.08
2018,106.26,101.86,156.81
2019,95.86,98.47,159.65
2020,91.81,98.26,161.65
2021,139.68,106.24,169.22
2022,152.36,114.75,182.74
2023,126.45,118.82,190.28
2024,116.71,123.59,195.9
2025,108.68,127.83,201.06
