,USD,EUR,GBP,PLN,JPY,CHF,CNY
1996,100.0,,100.0,,100.0,100.0,100.0
1997,96.7,,94.7,,102.1,104.6,96.6
1998,91.5,,88.6,,100.8,101.5,91.3
1999,88.0,100.0,85.3,,95.3,99.9,87.7
2000,86.4,108.7,84.9,,91.9,101.8,86.0
2001,82.0,111.5,82.1,,89.2,102.8,81.5
2002,79.7,112.6,81.1,100.0,87.2,101.2,79.2
2003,81.1,111.2,82.7,102.5,86.5,101.3,80.5
2004,87.8,116.6,87.3,110.5,92.9,105.5,87.2
2005,96.4,120.6,92.4,114.1,102.3,108.9,95.4
2006,111.5,130.0,101.6,120.4,117.2,118.5,109.6
2007,134.8,145.9,116.0,134.6,140.0,136.0,130.2
2008,163.7,168.5,137.9,148.4,165.9,158.2,152.5
2009,178.1,179.3,154.9,156.6,175.6,167.5,159.6
2010,197.4,196.2,177.3,171.3,185.5,178.8,170.3
2011,216.8,211.2,200.4,186.6,188.9,183.2,179.4
2012,221.8,218.9,214.7,197.2,179.0,178.4,176.8
2013,218.8,220.1,218.3,205.4,174.9,170.6,170.3
2014,225.2,228.9,222.5,212.1,184.7,170.0,171.7
2015,214.9,226.5,212.8,211.6,188.3,159.9,161.6
2016,196.1,216.7,201.4,204.6,183.0,149.3,148.3
2017,185.5,210.2,198.4,199.3,185.1,142.6,142.2
2018,180.7,209.9,199.7,199.6,184.7,140.5,140.7
2019,176.5,211.9,205.1,202.5,181.2,139.4,140.5
2020,177.8,211.8,213.6,205.1,177.8,139.5,144.1
2021,195.5,229.8,233.7,224.5,196.0,151.0,157.5
2022,219.5,262.2,265.4,261.1,227.4,168.7,176.9
2023,235.2,285.7,288.0,287.9,256.1,177.6,192.1
2024,252.6,309.0,309.3,311.4,293.8,186.3,208.0
2025,271.0,332.5,330.5,331.5,337.7,195.2,225.0
