,AUV_T,income,USA_nominal,USA_w_pracy,USA_w_AUV,Wielka Brytania_nominal,Wielka Brytania_w_pracy,Wielka Brytania_w_AUV,Japonia_nominal,Japonia_w_pracy,Japonia_w_AUV
1996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1997,95.21,98.24,127.46,129.74,133.88,122.53,124.72,128.7,86.88,88.43,91.25
1998,84.99,96.43,153.63,159.32,180.77,147.09,152.55,173.08,73.4,76.12,86.36
1999,79.58,98.23,172.87,175.98,217.22,164.1,167.06,206.21,86.29,87.85,108.43
2000,81.7,98.23,179.66,182.9,219.9,166.41,169.41,203.67,96.41,98.14,118.0
2001,78.5,98.26,169.11,172.12,215.42,145.19,147.77,184.95,74.43,75.75,94.81
2002,80.58,100.72,147.38,146.33,182.89,120.14,119.28,149.09,60.99,60.55,75.68
2003,79.88,111.51,143.86,129.01,180.09,105.74,94.83,132.37,57.18,51.28,71.58
2004,94.21,124.06,174.63,140.77,185.36,118.1,95.19,125.35,69.72,56.2,74.01
2005,102.8,124.06,194.05,156.42,188.77,134.69,108.57,131.02,79.04,63.71,76.89
2006,120.57,132.67,220.67,166.33,183.02,154.7,116.6,128.31,101.37,76.41,84.08
2007,132.83,158.05,254.74,161.18,191.78,167.28,105.84,125.94,103.52,65.5,77.94
2008,136.97,171.49,212.26,123.78,154.97,140.22,81.77,102.37,74.02,43.16,54.04
2009,110.91,160.58,160.85,100.16,145.03,119.26,74.27,107.53,54.09,33.68,48.77
2010,122.7,173.8,190.84,109.8,155.54,142.82,82.17,116.4,55.22,31.77,45.0
2011,147.28,173.8,207.87,119.6,141.14,148.65,85.52,100.93,51.21,29.46,34.77
2012,121.91,192.77,211.47,109.7,173.47,149.96,77.79,123.01,47.94,24.87,39.32
2013,112.27,195.61,248.85,127.22,221.64,169.01,86.4,150.53,69.93,35.75,62.29
2014,103.62,198.27,281.39,141.92,271.57,174.55,88.04,168.46,78.74,39.71,75.99
2015,91.33,185.08,281.93,152.33,308.68,172.25,93.07,188.6,96.62,52.2,105.79
2016,87.35,185.08,274.15,148.12,313.84,169.06,91.34,193.54,84.49,45.65,96.72
2017,95.75,185.87,312.71,168.24,326.59,192.72,103.69,201.28,101.09,54.39,105.58
2018,93.72,205.98,333.83,162.07,356.18,192.11,93.27,204.98,107.7,52.29,114.92
2019,88.1,207.2,339.67,163.93,385.54,190.12,91.76,215.8,99.34,47.94,112.76
2020,87.95,199.21,333.73,167.52,379.45,163.93,82.29,186.39,99.46,49.93,113.09
2021,115.21,225.68,428.96,190.08,372.34,182.79,81.0,158.66,121.56,53.86,105.51
2022,140.78,225.68,408.37,180.95,290.06,192.31,85.22,136.6,119.55,52.98,84.92
2023,116.85,233.1,413.9,177.56,354.22,199.04,85.39,170.35,135.97,58.33,116.36
2024,104.99,248.27,486.71,196.04,463.59,210.97,84.98,200.95,167.15,67.33,159.21
2025,100.42,248.27,538.75,217.0,536.48,234.78,94.57,233.79,183.06,73.74,182.29
