,AUV_T_na_osobe,AUV_T_na_pracownika,dochod_na_osobe,dochod_na_pracownika
1996,100.0,100.0,100.0,100.0
1997,95.207,93.704,98.244,99.819
1998,84.986,83.892,96.425,97.683
1999,79.581,81.577,98.231,95.827
2000,81.704,82.761,98.231,96.977
2001,78.502,78.369,98.255,98.422
2002,80.583,83.975,100.72,96.653
2003,79.882,89.545,111.51,99.476
2004,94.213,106.446,124.06,109.803
2005,102.797,105.778,124.06,120.564
2006,120.572,124.565,132.672,128.418
2007,132.827,151.493,158.048,138.574
2008,136.97,152.785,171.485,153.735
2009,110.905,108.0,160.584,164.903
2010,122.697,136.174,173.805,156.604
2011,147.281,151.769,173.805,168.666
2012,121.907,126.616,192.77,185.6
2013,112.275,116.954,195.609,187.783
2014,103.617,107.689,198.267,190.77
2015,91.333,87.869,185.083,192.38
2016,87.351,89.494,185.083,180.652
2017,95.75,98.036,185.866,181.532
2018,93.723,100.406,205.982,192.272
2019,88.101,90.565,207.196,201.558
2020,87.95,86.612,199.212,202.291
2021,115.206,129.525,225.676,200.727
2022,140.785,143.281,225.676,221.744
2023,116.847,119.328,233.097,228.252
2024,104.986,110.882,248.27,235.069
2025,100.423,103.459,248.27,240.986
