,AUV_T,trend,cykl
1996,100.0,100.0,100.0
1997,95.207,97.574,97.574
1998,84.986,93.183,91.203
1999,79.581,89.579,88.839
2000,81.704,87.946,92.903
2001,78.502,86.296,90.968
2002,80.583,85.456,94.298
2003,79.882,82.757,96.525
2004,94.213,82.633,114.014
2005,102.797,84.91,121.066
2006,120.572,90.103,133.816
2007,132.827,96.58,137.531
2008,136.97,104.573,130.98
2009,110.905,109.455,101.325
2010,122.697,116.376,105.432
2011,147.281,124.046,118.732
2012,121.907,127.104,95.911
2013,112.275,125.816,89.237
2014,103.617,121.431,85.33
2015,91.333,114.6,79.697
2016,87.351,110.758,78.867
2017,95.75,106.903,89.567
2018,93.723,100.218,93.519
2019,88.101,95.675,92.084
2020,87.95,92.395,95.19
2021,115.206,93.805,122.815
2022,140.785,99.786,141.086
2023,116.847,104.021,112.33
2024,104.986,105.399,99.609
2025,100.423,106.443,94.344
