,AUV
1996-01-31,
1996-02-29,
1996-03-31,
1996-04-30,
1996-05-31,
1996-06-30,
1996-07-31,
1996-08-31,
1996-09-30,
1996-10-31,
1996-11-30,
1996-12-31,
1997-01-31,82.19992454997973
1997-02-28,82.5532404535809
1997-03-31,85.13074128454467
1997-04-30,81.76602146116757
1997-05-31,84.64983294041723
1997-06-30,81.29646641423471
1997-07-31,82.18744725655924
1997-08-31,88.19531977438314
1997-09-30,83.40634846146273
1997-10-31,83.35379238441412
1997-11-30,82.83827567135327
1997-12-31,79.37688477104501
1998-01-31,77.18844673367308
1998-02-28,76.19887980669398
1998-03-31,74.89847900976812
1998-04-30,73.58289568002489
1998-05-31,70.98228628781766
1998-06-30,67.9452776701238
1998-07-31,68.19059716048194
1998-08-31,67.66276497835865
1998-09-30,69.13328634509082
1998-10-31,67.70923206759598
1998-11-30,67.3926197225934
1998-12-31,65.11057460971068
1999-01-31,63.589570947100825
1999-02-28,61.81573122333975
1999-03-31,61.54230120513222
1999-04-30,66.21604497051774
1999-05-31,68.3469627870999
1999-06-30,67.98741449240015
1999-07-31,71.94191661397765
1999-08-31,72.96752701501323
1999-09-30,76.35688043310336
1999-10-31,75.32546363535127
1999-11-30,75.3193062529236
1999-12-31,79.34183979825505
2000-01-31,85.62019997676103
2000-02-29,85.71266609419982
2000-03-31,80.84268864742307
2000-04-30,74.9509385865881
2000-05-31,75.47214351123716
2000-06-30,77.27421174162582
2000-07-31,79.65024453098029
2000-08-31,77.99586088761701
2000-09-30,81.70179612247375
2000-10-31,76.95708996216396
2000-11-30,75.77109877153447
2000-12-31,80.61115643592731
2001-01-31,82.9911509424236
2001-02-28,82.23487307332337
2001-03-31,77.62739630959521
2001-04-30,76.93833865697167
2001-05-31,79.0294409691819
2001-06-30,75.48872707659814
2001-07-31,73.11257640654473
2001-08-31,71.12032778008523
2001-09-30,69.48552737396048
2001-10-31,66.39673066931803
2001-11-30,68.97938096908962
2001-12-31,69.69508065120816
2002-01-31,70.79877667443758
2002-02-28,70.72363279566002
2002-03-31,72.3336909472842
